table_name,column_name,data_type,ordinal_position
cln_actionkit__core_mailingsubject,mailing_id,INT64,6
cln_actionkit__core_mailingsubject,preview_text,STRING,7
cln_actionkit__core_mailingsubject,source_schema,STRING,8
cln_actionkit__core_mailingsubject,source_table,STRING,9
cln_actionkit__core_mailingsubject,vendor,STRING,10
cln_actionkit__core_mailingsubject,vendor_unique_mailingsubject_id,STRING,11
cln_actionkit__core_mailingsubject,data_owner_id,INT64,12
cln_actionkit__core_mailingsubject,data_owner_code,STRING,13
cln_actionkit__core_mailingtargeting,_dbt_source_relation,STRING,1
cln_actionkit__core_mailingtargeting,id,INT64,2
cln_actionkit__core_mailingtargeting,utc_created_at,TIMESTAMP,3
cln_actionkit__core_mailingtargeting,utc_updated_at,TIMESTAMP,4
cln_actionkit__core_mailingtargeting,states,STRING,5
cln_actionkit__core_mailingtargeting,cds,STRING,6
cln_actionkit__core_mailingtargeting,zips,STRING,7
cln_actionkit__core_mailingtargeting,zip_radius,INT64,8
cln_actionkit__core_mailingtargeting,has_donated,BOOL,9
cln_actionkit__core_mailingtargeting,is_monthly_donor,BOOL,10
cln_actionkit__core_mailingtargeting,raw_sql,STRING,11
cln_actionkit__core_mailingtargeting,state_house_districts,STRING,12
cln_actionkit__core_mailingtargeting,state_senate_districts,STRING,13
cln_actionkit__core_mailingtargeting,is_delivery,BOOL,14
cln_actionkit__core_mailingtargeting,delivery_job_id,INT64,15
cln_actionkit__core_mailingtargeting,counties,STRING,16
cln_actionkit__core_mailingtargeting,campaign_radius,INT64,17
cln_actionkit__core_mailingtargeting,countries,STRING,18
cln_actionkit__core_mailingtargeting,divisions,STRING,19
cln_actionkit__core_mailingtargeting,campaign_samestate_only,BOOL,20
cln_actionkit__core_mailingtargeting,mirror_mailing_excludes,BOOL,21
cln_actionkit__core_mailingtargeting,regions,STRING,22
cln_actionkit__core_mailingtargeting,campaign_same_district_only,BOOL,23
cln_actionkit__core_mailingtargeting,campaign_first_date,STRING,24
cln_actionkit__core_mailingtargeting,campaign_last_date,STRING,25
cln_actionkit__core_mailingtargeting,campaign_same_county_only,BOOL,26
cln_actionkit__core_mailingtargeting,scorepool_score_min,INT64,27
cln_actionkit__core_mailingtargeting,scorepool_score_max,INT64,28
cln_actionkit__core_mailingtargeting,scorepool_score_include_missing,BOOL,29
cln_actionkit__core_mailingtargeting,mailbox_provider_activity_id,INT64,30
cln_actionkit__core_mailingtargeting,source_schema,STRING,31
cln_actionkit__core_mailingtargeting,source_table,STRING,32
cln_actionkit__core_mailingtargeting,vendor,STRING,33
cln_actionkit__core_mailingtargeting,vendor_unique_mailingtargeting_id,STRING,34
cln_actionkit__core_mailingtargeting,data_owner_id,INT64,35
cln_actionkit__core_mailingtargeting,data_owner_code,STRING,36
cln_actionkit__core_mailingtargeting_lists,_dbt_source_relation,STRING,1
cln_actionkit__core_mailingtargeting_lists,id,INT64,2
cln_actionkit__core_mailingtargeting_lists,mailingtargeting_id,INT64,3
cln_actionkit__core_mailingtargeting_lists,list_id,INT64,4
cln_actionkit__core_mailingtargeting_lists,source_schema,STRING,5
cln_actionkit__core_mailingtargeting_lists,source_table,STRING,6
cln_actionkit__core_mailingtargeting_lists,vendor,STRING,7
cln_actionkit__core_mailingtargeting_lists,vendor_unique_core_mailingtargeting_list_id,STRING,8
cln_actionkit__core_mailingtargeting_lists,data_owner_id,INT64,9
cln_actionkit__core_mailingtargeting_lists,data_owner_code,STRING,10
cln_actionkit__core_mediatarget,_dbt_source_relation,STRING,1
cln_actionkit__core_mediatarget,id,INT64,2
